Feature,Importance,Std_Dev
language,-2.296151240895883e-05,0.0002158527573603758
race,0.0007805277938346844,0.0005114851658668525
gender,0.0013626151059227486,0.0005433558680835814
insurance,0.00677638053455859,0.000607416526408892
marital_status,0.008941199958004109,0.0009523954822111581
bmi,0.027144395243622464,0.001073725166874611
admission_type,0.043952400949232986,0.0015330411416648684
anchor_age,0.05394389364784302,0.0010926643787550424
