run_id,config_name,n_ensemble,n_samples,accuracy,roc_auc_macro,f1_macro,recall_macro,precision_macro,f1_class_0_early,f1_class_1_late,f1_class_2_healthy,seed
0,small,32,150,0.49769250132855986,0.7933041533670773,0.3392251697947311,0.638910537841539,0.40016036234966545,0.1975094121054156,0.17602306398654602,0.6441430332922318,42
1,small,32,150,0.493329231113473,0.7947880148474195,0.3373820948800716,0.6350930764164541,0.39943811350462216,0.20348892032060348,0.16930533117932148,0.6393520331402898,43
2,small,32,150,0.5709171258355942,0.7985562364419273,0.36926978871874794,0.6231614932611121,0.40386498153484696,0.2134654901486764,0.17843544479058498,0.7159084312169824,44
3,small,32,150,0.5582188907224569,0.8017606640722953,0.36928878796296677,0.634875386864587,0.40702179834726815,0.23661444938040682,0.1685185185185185,0.702733395989975,45
4,small,32,150,0.4788409364249154,0.7925832661834087,0.33089324488980193,0.6369815266021736,0.39900719487736197,0.1981456953642384,0.17034803162441928,0.6241860076807481,46
5,small,32,150,0.5066987385673929,0.7882051137530164,0.342349271334434,0.6308615922828187,0.3993678022467086,0.1970554926387316,0.17692027666545324,0.6530720446991171,47
6,small,32,150,0.49777641037115766,0.7893245165471986,0.34040208431363816,0.6398300994158577,0.400478604269795,0.2062314540059347,0.17175066312997347,0.6432241358050064,48
7,small,32,150,0.5411294157133667,0.8029706567210996,0.3619920597499627,0.6491010966574965,0.405208811860879,0.21448023288571696,0.18654318654318655,0.6849527598209846,49
8,small,32,150,0.532878359857914,0.8012618489973614,0.3564744964991455,0.6402551879497388,0.4030637880182808,0.20551772306617774,0.18626379087565847,0.6776419755556,50
9,small,32,150,0.589628842334909,0.8006644171363545,0.37966705053366273,0.6289997502150241,0.4057202214061271,0.2223888591322978,0.1861463015937883,0.7304659908749022,51
10,small,32,150,0.5329342992196459,0.7929037691363815,0.3551801515392492,0.6326937398768151,0.40195777139554684,0.21432742846019076,0.172658000896459,0.6785550252610979,52
11,small,32,150,0.5043772550555198,0.7958280365558753,0.34077689792298377,0.6288271856078266,0.3994760595486524,0.20033290903750123,0.17008845248721902,0.6519093322442312,53
12,small,32,150,0.5094117976113892,0.7919422426097397,0.3452423382059216,0.638714721976179,0.4010616451481635,0.2016468114926419,0.17902580879680116,0.6550543943283217,54
13,small,32,150,0.5215786087880737,0.7984061339674312,0.3497350993972508,0.6313430169931039,0.4017563087286011,0.2109979633401222,0.1695252299279145,0.6686821049237157,55
14,small,32,150,0.5549464380611417,0.7993503690745563,0.36679643365891534,0.6369249580590303,0.4052717421010983,0.22708469409971696,0.17419581648795923,0.6991087903890699,56
15,small,32,150,0.5426677481609935,0.7902348451830239,0.3574461900632569,0.6274905878358481,0.4013305083905064,0.2034369722856859,0.17997441987940802,0.6889271780246767,57
